Sec_Code,Sec_Name_E
2603,Markaz Sohag
2604,Markaz El Maragha
2605,Markaz Gohina El Gharbia
2606,Qesm Tahta
2607,Markaz Tahta
2608,Markaz Tema
2609,Markaz El Monshaa
2610,Markaz El Osayrat
2611,Qesm Gerga
2612,Markaz Gerga
2613,Markaz El Bleena
2614,Markaz Dar El Salam
2615,Markaz Akhmeem
2616,Markaz Saqolta
2617,Qesm El Kawthr
2618,Markaz New Akhmeem
2619,Markaz New Sohag
2692,Surrounded By Desert To Sohag Governorate
2693,Surrounded By Desert To Markaz El Belena
2694,Surrounded By Desert To Markaz El Maragha
2695,Surrounded By Desert To Markaz El Monshaah
2696,Surrounded By Desert To Markaz Gerga
2697,Surrounded By Desert To Markaz Jouhayna El Gharbia
2698,Surrounded By Desert To Markaz Tama
2699,Surrounded By Desert To Markaz Tahta
2701,Qesm Qena
2702,Markaz Qena
2703,Markaz Deshna
2704,Markaz El Waqf
2705,Markaz Nagaa Hamadi
2706,Markaz Frshout
2707,Markaz Abo Tesht
2708,Markaz Qeft
2709,Markaz Qous
2710,Markaz Neqada
2711,New Qena City
2793,Surrounded By Desert To Qena Governorate
2794,Surrounded By Desert To Markaz Abu Tesht
2795,Surrounded By Desert To Markaz El Waqf
2796,Surrounded By Desert To Markaz Frshout
2797,Surrounded By Desert To Markaz Qena
2798,Surrounded By Desert To Markaz Nagaa Hamadi
2799,Surrounded By Desert To Markaz Neqada
2801,Qesm 1st Aswan
2802,Qesm 2nd Aswan
2803,Markaz Aswan
2804,New Aswan City
2805,Markaz Edfo
2806,Markaz Koum Umbo
2807,Markaz Nasr
2808,Markaz Daraw
2809,Markaz Abo Simbel
2810,New Toshka City
2894,Surrounded By Desert To Markaz Aswan
2895,Surrounded By Desert To Markaz Idfo
2896,Surrounded By Desert To Markaz Koum Ambo
2897,Surrounded By Desert To Markaz Nasr
2898,Surrounded By Desert To Markaz Daraw
2899,Surrounded By Desert To Markaz Abu Sembel
2901,Qesm Luxor
2902,Markaz Luxor
2903,Markaz Tiba
2904,Markaz El Qarnah
2905,Markaz Arment
2906,Markaz Isna
2994,Surrounded By Desert To Markaz El Qarna
2995,Surrounded By Desert To Markaz Armant
2996,Surrounded By Desert To Markaz Isna
2999,Surrounded By Desert To Luxor Governorate
3101,Qesm 1st Hurghada
3102,Qesm 2nd Hurghada
3103,Qesm Ras Ghareb
3104,Qesm Safaga
3105,Qesm El Qosser
3106,Qesm Marsa Alem
3107,Qesm El Shlateen
3108,Qesm Halayeb
3195,Surrounded By Desert To Qesm El Qoseer
3196,Surrounded By Desert To Qesm Marsa Alam
3197,Surrounded By Desert To Qesm El Shalateen
3199,Surrounded By Desert To Hurghada City
3201,Qesm El Kharga
3202,Markaz Paris
3203,Markaz Balat
3204,Markaz El Farafra
3205,Markaz El Dakhla
3206,Sharq El Owaynat
3293,Surrounded By Desert To Markaz Balat
3294,Surrounded By Desert To Markaz El Farafra
3295,Surrounded By Desert To Markaz El Dakhla
3299,Surrounded By Desert To El Wadi El Gidid
3301,Qesm Marsa Matroh
3302,Qesm El Negela
3303,Qesm Sedi Brani
3304,Qesm El Saloom
3305,Qesm El Dabaa
3306,Qesm El Alameen
3307,Qesm Marina El Alameen El Seyahia
3308,Qesm El Hamam
3309,Qesm Siwa
3310,El Sahel El Shamaly
3392,Surrounded By Desert To Qesm Marsa Matroh
3393,Surrounded By Desert To Qesm Siwa
3394,Surrounded By Desert To Qesm Sedi Barani
3395,Surrounded By Desert To Qesm El Alameen
3396,Surrounded By Desert To Qesm El Dabaa
3397,Surrounded By Desert To Qesm El Saloum
3398,Surrounded By Desert To Qesm El Dakhla
3399,Surrounded By Desert To Qesm El Hammam
3401,Qesm 1st El Areesh
3402,Qesm 2nd El Areesh
3403,Qesm 3rd El Areesh
3404,Qesm 4th El Areesh
3405,Qesm Bear El Abd
3406,Qesm Romana
3407,Qesm El Hasna
3408,Qesm Nakhl
3409,Qesm El Qasima
3410,Qesm El Shekh Zwid
3411,Qesm Rafah
3499,Surrounded By Desert To Qesm Romanah
3499,Surrounded By Desert To Qesm Romanah
3501,Qesm El Toor
3502,Qesm Abo Redes
3503,Qesm Ras Sedr
3504,Qesm Saint Katreen
3505,Qesm Nowibaa
3506,Qesm Taba
3507,Qesm Dahab
3508,Qesm 1st Sharm El Sheikh
3509,Qesm 2nd Sharm El Sheikh
